r,time,v_theta_sim,v_theta_analytical_t0,v_theta_analytical_tfin
1.1367999999999998,30.0,0.2739579216917568,0.2814044721674055,0.27036553564505195
1.1522666666666666,30.0,0.27082677419218987,0.27764435422600164,0.26766629413275567
1.167733333333333,30.0,0.2678261540310734,0.2739806512807016,0.2649716837566709
1.1831999999999998,30.0,0.26505705652757766,0.27041014233227817,0.26228526458691886
1.1986666666666665,30.0,0.2620187960887058,0.266929681482023,0.2596103048253482
1.2141333333333333,30.0,0.25909038297722936,0.26353620655870297,0.2569497924941979
1.2295999999999998,30.0,0.25618370719945677,0.26022674539768154,0.2543064474788353
1.2450666666666665,30.0,0.25345288393478904,0.25699842013837004,0.25168273382414547
1.260533333333333,30.0,0.25085259389679393,0.2538484498650195,0.2490808721910133
1.2759999999999998,30.0,0.2479805648031359,0.25077415187701285,0.24650285238635986
1.2914666666666665,30.0,0.24519789107976728,0.2477729418386303,0.24395044588730724
1.3069333333333333,30.0,0.24244916604140654,0.2448423330249327,0.2414252182871556
1.3223999999999998,30.0,0.240091697144244,0.24197993485005403,0.23892854159792012
1.3378666666666665,30.0,0.23734376876905827,0.23918345083681514,0.23646160635111385
1.353333333333333,30.0,0.23470700401097572,0.23645067616210533,0.23402543344523663
1.3687999999999998,30.0,0.2321080345336609,0.23377949489080976,0.2316208856949833
1.3842666666666665,30.0,0.22950221722541242,0.23116787699203234,0.2292486790434856
1.3997333333333333,30.0,0.22731402539022785,0.2286138752147863,0.2269093934049095
1.4151999999999998,30.0,0.22455480519341472,0.22611562188600368,0.2246034831104238
1.4306666666666665,30.0,0.2221532977790742,0.22367132568143477,0.2223312869359076
1.446133333333333,30.0,0.21984461056337143,0.22127926840956955,0.22009303769476835
1.4615999999999998,30.0,0.21779309349096979,0.21893780183989842,0.21788887138387358
1.4770666666666665,30.0,0.21513437335940494,0.21664534459946247,0.2157188358748699
1.4925333333333333,30.0,0.2127073885067015,0.21440037915552093,0.21358289914705236
1.5079999999999998,30.0,0.21031793194565257,0.2122014488971371,0.21148095706147796
1.5234666666666665,30.0,0.20824798292096874,0.21004715532438453,0.20941284067917498
1.538933333333333,30.0,0.20599686455082236,0.20793615535057303,0.20737832312911356
1.5543999999999998,30.0,0.2033864465378896,0.20586715872026387,0.20537712603406608
1.5698666666666665,30.0,0.20109744353401607,0.20383892554377533,0.20340892550463047
1.5853333333333333,30.0,0.19905889236720029,0.20185026394727987,0.20147335771351313
1.6007999999999998,30.0,0.19714235262489804,0.19990002783638244,0.19957002406370608
1.6162666666666665,30.0,0.1942575842198733,0.19798711477017047,0.19769849596544714
1.631733333333333,30.0,0.19201337413243788,0.19611046394208587,0.19585831923785596
1.6471999999999998,30.0,0.1898953087230203,0.19426905426353316,0.19404901815190057
1.6626666666666665,30.0,0.18764784913568625,0.19246190254586393,0.19227009913189652
1.6781333333333333,30.0,0.18498797448220736,0.19068806177623462,0.1905210541330907
1.6935999999999998,30.0,0.18263105737389204,0.18894661948278657,0.18880136371305156
1.7090666666666665,30.0,0.1801703762838463,0.18723669618462763,0.1871104998146019
1.724533333333333,30.0,0.17776177510872437,0.1855574439221796,0.18544792827790152
1.7399999999999998,30.0,0.17557824918396722,0.1839080448635803,0.18381311109903578
1.7554666666666665,30.0,0.17259363009508263,0.18228770998298557,0.18220550845211217
1.7709333333333332,30.0,0.1698728657532802,0.18069567780678603,0.18062458049141758
1.7863999999999998,30.0,0.16710180310663994,0.1791312132239404,0.17906978894966974
1.8018666666666665,30.0,0.16506663839186914,0.17759360635681437,0.1775405985478123
1.817333333333333,30.0,0.1616428239817189,0.1760821714891049,0.1760364782311725
1.8327999999999998,30.0,0.15855574843624634,0.17459624604761817,0.17455690224613046
1.8482666666666665,30.0,0.15555491304130928,0.17313518963485194,0.17310135107075691
1.8637333333333332,30.0,0.15256414437354435,0.17169838310951144,0.1716693122121614
1.8791999999999998,30.0,0.14941970055550097,0.17028522771225627,0.17026028088257583
1.8946666666666665,30.0,0.1457307565090718,0.16889514423413882,0.16887376056547473
1.910133333333333,30.0,0.1423930995011818,0.16752757222534767,0.16750926348231984
1.9255999999999998,30.0,0.13897958920311218,0.16618196924201434,0.16616631096981044
1.9410666666666665,30.0,0.13550161169180033,0.16485781012897893,0.16484443377683378
1.9565333333333332,30.0,0.13150926724081538,0.16355458633653772,0.16354317228963972
1.9719999999999998,30.0,0.12762803521161434,0.16227180526931764,0.16226207669311923
1.9874666666666665,30.0,0.12354670247557471,0.16100898966553392,0.16100070707544525
2.002933333333333,30.0,0.11931137936876185,0.15976567700499453,0.1597586334827429
