run,method,ppc,flip_coef,r,v_theta_sim
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.3280666666666667,0.802473336304519
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.3458,0.8427536638124397
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.3635333333333334,0.8844748299839934
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.38126666666666664,0.9269471706876306
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.399,0.9683945331232786
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.4167333333333333,1.014013502328316
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.43446666666666667,1.0586843556064087
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.45220000000000005,1.1013977548426874
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.4699333333333333,1.1461195492343705
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.4876666666666667,1.1887993520851732
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.5054,1.2315469648854322
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.5231333333333333,1.2751423586639525
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.5408666666666666,1.313195152686784
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.5586,1.3563381854737842
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.5763333333333334,1.401866263722953
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.5940666666666667,1.4463513077100665
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.6118,1.4903626822565268
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.6295333333333333,1.5330315574632303
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.6472666666666667,1.57604197864179
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.665,1.6195077582202346
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.6827333333333334,1.6630307217103277
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.7004666666666667,1.7050978353858295
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.7182,1.748520789712489
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.7359333333333333,1.7910003169337712
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.7536666666666667,1.8352588152823357
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.7714000000000001,1.8802400037396798
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.7891333333333334,1.9249474784198937
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.8068666666666666,1.9675760883423994
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.8246,2.009895960650826
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.8423333333333334,2.052238118898084
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.8600666666666666,2.092974600572575
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.8778,2.137360162062139
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.8955333333333333,2.1786887722521904
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.9132666666666667,2.220528362245359
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.931,2.263620382140574
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.9487333333333333,2.3059866645236533
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.9664666666666667,2.345774020624453
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,0.9842,2.38526113458681
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.0019333333333333,2.421932474126312
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.0196666666666667,2.4566047994337623
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.0373999999999999,2.491359209827156
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.0551333333333335,2.5238627621669774
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.0728666666666666,2.5549742649095566
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.0906,2.581920581369373
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.1083333333333334,2.605577122317773
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.1260666666666665,2.6271732687776
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.1438000000000001,2.645051332265329
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.1615333333333333,2.658010336992572
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.1792666666666667,2.6676234584061276
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.197,2.6735287839961557
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.2147333333333332,2.6760570235449728
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.2324666666666668,2.6746205718538585
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.2502,2.6693702895637794
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.2679333333333334,2.659940611684771
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.2856666666666667,2.6479260776241436
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.3034,2.633362243535211
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.3211333333333335,2.61707157014504
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.3388666666666666,2.5979940816897056
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.3566,2.5764198645434564
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.3743333333333334,2.553377055500078
