run,method,ppc,flip_coef,sample,time,sigma_sq,sigma_sq_excess
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,26,0.41600000000000004,0.8433395320301413,0.1230494083089213
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,27,0.432,0.8452850907009527,0.12499496697973267
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,28,0.448,0.8461995469936788,0.1259094232724588
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,29,0.464,0.8488286300262545,0.1285385063050345
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,30,0.48,0.8487937821537725,0.12850365843255251
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,31,0.496,0.8491917780896729,0.1289016543684529
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,32,0.512,0.8495870653489256,0.12929694162770555
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,33,0.528,0.8521306043335474,0.13184048061232734
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,34,0.544,0.8551921761596364,0.13490205243841635
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,35,0.56,0.85253863691501,0.13224851319378994
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,36,0.5760000000000001,0.8520982530876101,0.13180812936639008
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,37,0.592,0.8541545245956218,0.13386440087440177
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,38,0.608,0.8545287944621223,0.13423867074090223
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,39,0.624,0.8588848431676603,0.1385947194464403
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,40,0.64,0.8613333485648572,0.14104322484363718
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,41,0.656,0.8653878971657024,0.14509777344448238
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,42,0.672,0.867684310642821,0.147394186921601
rankine_flip_ppc2_coefpic0_t4,flip,2,0.0,43,0.6880000000000001,0.869594492494166,0.14930436877294595
