run,step,time,kinetic_energy,velocity_l2
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,19,19.0,25.668649673461914,5.066423537460869
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,20,20.0,24.726659774780273,4.9725908896922135
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,21,21.0,25.387121200561523,5.038563444279654
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,22,22.0,23.742027282714844,4.872579026263966
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,23,23.0,17.09282112121582,4.134346507602124
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,24,24.0,13.185080528259277,3.631126456859238
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,25,25.0,11.993306159973145,3.4631352361787004
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,26,26.0,12.437898635864258,3.526740414209522
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,27,27.0,10.804572105407715,3.2870308080702753
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,28,28.0,10.85232162475586,3.2942862318480692
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,29,29.0,10.470365524291992,3.2357943368258706
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,30,30.0,10.6171293258667,3.258393608244713
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,31,31.0,7.555552005767822,2.748736392929031
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,32,32.0,6.3487467765808105,2.5196718710758006
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,33,33.0,5.9575724601745605,2.4408138031165705
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,34,34.0,5.950227737426758,2.4393088490662294
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,35,35.0,5.565257549285889,2.35907981390189
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,36,36.0,5.074695587158203,2.252708466395577
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,37,37.0,4.726414203643799,2.1740317107610303
