run,step,time,vorticity_l2,enstrophy
falling-block-water_apic_ppc3_t4_r1,29,29.0,28.755798328337193,413.44796875000003
falling-block-water_apic_ppc3_t4_r1,30,30.0,25.620168751883742,328.19652343750005
falling-block-water_apic_ppc3_t4_r1,31,31.0,26.13780637075346,341.59246093750005
falling-block-water_apic_ppc3_t4_r1,32,32.0,26.341891245220037,346.94761718750004
falling-block-water_apic_ppc3_t4_r1,33,33.0,20.262342881870794,205.28126953125002
falling-block-water_apic_ppc3_t4_r1,34,34.0,13.097105029595282,85.767080078125
falling-block-water_apic_ppc3_t4_r1,35,35.0,10.515884562175453,55.29191406250001
falling-block-water_apic_ppc3_t4_r1,36,36.0,9.790436480789557,47.92632324218751
falling-block-water_apic_ppc3_t4_r1,37,37.0,9.586974908208793,45.955043945312504
falling-block-water_apic_ppc3_t4_r1,38,38.0,10.908463242478293,59.49728515625001
falling-block-water_apic_ppc3_t4_r1,39,39.0,12.56917538750554,78.99208496093752
falling-block-water_apic_ppc3_t4_r1,40,40.0,11.06160307098388,61.179531250000004
