run,method,ppc,flip_coef,sample,time,normVelocity
vk_pic_ppc3_t4,pic,3,,185,9.25,1.067023754119873
vk_pic_ppc3_t4,pic,3,,186,9.3,1.066510796546936
vk_pic_ppc3_t4,pic,3,,187,9.350000000000001,1.0651785135269165
vk_pic_ppc3_t4,pic,3,,188,9.4,1.0646827220916748
vk_pic_ppc3_t4,pic,3,,189,9.450000000000001,1.0644614696502686
vk_pic_ppc3_t4,pic,3,,190,9.5,1.064043641090393
vk_pic_ppc3_t4,pic,3,,191,9.55,1.0634359121322632
vk_pic_ppc3_t4,pic,3,,192,9.6,1.0623786449432373
vk_pic_ppc3_t4,pic,3,,193,9.65,1.0617135763168335
vk_pic_ppc3_t4,pic,3,,194,9.7,1.0609334707260132
vk_pic_ppc3_t4,pic,3,,195,9.75,1.0608586072921753
vk_pic_ppc3_t4,pic,3,,196,9.8,1.0626375675201416
vk_pic_ppc3_t4,pic,3,,197,9.85,1.0641525983810425
vk_pic_ppc3_t4,pic,3,,198,9.9,1.0653811693191528
vk_pic_ppc3_t4,pic,3,,199,9.95,1.0668680667877197
vk_pic_ppc3_t4,pic,3,,200,10.0,1.0672837495803833
